question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
247,Urbanizasiya hansı mənada iqtisadi inkişafı stimullaşdırır?,Sənayenin inkişafı və iş imkanlarının artması,Təbii sərvətlərin azaldılması,Kənd əhalisinin azalması,Hamısı,Yalnız kənd təsərrüfatının inkişafı,a
248,Kənddən şəhərə köçən əhali əsasən hansı sektorda işləyir?,Təhsil,Təhsil və səhiyyə,Kənd təsərrüfatı,Sənaye və xidmət sektoru,Dövlət sektorunda,d
249,Urbanizasiyanın mənfi təsirlərindən biri hansıdır?,Hamısı,Yüksək təhsil səviyyəsi,Şəhərlərdə trafik sıxlığı və çirklilik,Şəhər infrastrukturlarının inkişafı,Yeni iş yerlərinin yaranması,c
250,”Mega şəhər” nədir?,Əhalisi 10 milyon nəfərdən çox olan şəhər,Yalnız böyük ticarət mərkəzləri olan şəhər,Yalnız əkinçiliklə məşğul olan şəhər,Təmiz hava və yaşıl sahələri olan şəhər,Hamsı,a
251,Litosferin qalınlığı harada daha çoxdur?,Vulkanik ərazilərdə,Platformalarda,Dəniz dibi vadilərində,Dağlıq ərazilərdə,Okeanlarda,d
252,Yer qabığının quruluşunda hansı qatlardan biri okean qabığında yoxdur?,Çökmə süxur qatı,Qranit qatı,Maqmatik qatı,Metamorfik qatı,Bazalt qatı,b
253,Maqmatik süxurlar neçə əsas qrupa bölünür?,3,2,5,6,4,b
254,Yer qabığında hər 100 metrdə temperatur nə qədər artır?,1°C,5°C,4°C,3°C,2°C,d
255,Torpaqəmələgətirən əsas amillərdən biri hansıdır?,Günəşin cazibə qüvvəsi,Yerin maqnit sahəsi,Okean cərəyanları,Ana süxur,Yerin daxili nüvəsi,d
256,Aşınma nədir?,Süxurların əriməsi prosesi,Yer qabığının çökməsi,Süxurların kristallaşması,Süxurların parçalanması prosesi,Maqmanın yer səthinə püskürməsi,d
257,Yer qabığının orta sıxlığı nə qədərdir?,2.8 q/sm³,3.0 q/sm³,2.5 q/sm³,5.5 q/sm³,3.5 q/sm³,a
258,Metamorfik süxurlar necə yaranır?,Maqmanın soyuması nəticəsində,Süxurların yüksək təzyiq və temperatur altında dəyişməsi ilə,Kimyəvi maddələrin su ilə çökməsi ilə,Küləyin təsiri ilə aşınma nəticəsində,Canlıların qalıqlarının çürüməsi ilə,b
259,Litosferin alt sərhədini hansı səth müəyyən edir?,Yer mantiyası,Yer nüvəsi,Moxoroviçiç sərhədi,Astenosfer,Konrad sərhədi,c
260,Maqmatik süxurların mənşəyi nədir?,Çökmə materialların toplanması,Üzvi maddələrin çürüməsi,Kimyəvi reaksiyalar nəticəsində yaranma,Maqmanın soyuması və bərkiməsi,Aşınma nəticəsində əmələ gəlmə,d
261,Materik tipli Yer qabığında hansı qat yoxdur?,Çökmə süxur qatı,Heç biri,Bazalt qatı,Dəmir qatı,Qranit qatı,d
262,Yer qabığının tərkibində ən çox yayılan kimyəvi element hansıdır?,Silisium,Kalsium,Alüminium,Oksigen,Dəmir,d
263,Yerin nüvəsinin xarici (kənar) qatının temperaturu təxminən neçə dərəcədir?,2000°C,5000°C,4500°C,6000°C,3500°C,d
264,Okean tipli Yer qabığı neçə qatdan ibarətdir?,4 qat,5 qat,1 qat,3 qat,2 qat,e
265,Yer qabığının materiklərdə qalınlığı nə qədərdir?,50-100 km,100-200 km,5-15 km,10-20 km,15-90 km,e
266,Yerin mantiyasının aşağı sərhədi harada yerləşir?,2000 km dərinlikdə,2500 km dərinlikdə,1000 km dərinlikdə,1500 km dərinlikdə,2900 km dərinlikdə,e
267,Litosfer nədir?,Atmosferin bir qatı,Yerin daxili maye hissəsi,Yerin nüvəsi,Yerin üst bərk qatı və mantiyanın yuxarı hissəsi,Hidrosferin bir hissəsi,d
268,Azərbaycanın yüksək dağlıq ərazilərində hansı təsərrüfat mümkündür?,Suvarma əsaslı əkinçilik,Sənaye təsərrüfatı,Subtropik meyvəçilik,Taxıl əkinçiliyi,Dağlıq iqlimə uyğun kənd təsərrüfatı.,e
269,Aqroiqlim ehtiyatlarının kənd təsərrüfatına təsiri nədir?,İqlim dəyişikliklərini sabit saxlayır,Su buxarını artırır,Yağıntı miqdarını sabit saxlayır,Günəş radiasiyasını azaldır,Effektiv temperaturdan asılı olaraq bitki növlərinin inkişafını təmin edir.,e
270,Azərbaycanın iqlimində sel və daşqın hadisələrinin təsiri nədir?,Təbii ehtiyatları artırır,CO2 səviyyəsini sabit saxlayır,Karbon qazını azaldır,Torpağı zənginləşdirir,Yamaclarda yarğanların əmələ gəlməsinə səbəb olur.,e
271,Azərbaycanın Abşeron yarımadasında küləklər nə ilə xarakterizə olunur?,Həmişə isti və quru olur,Yalnız yazda əsir,Günəş radiasiyasını azaldır,Yağıntı miqdarını artırır,İlin 300 günü müşahidə olunur.,e
272,Günəş radiasiyasının kənd təsərrüfatında əsas rolu nədir?,Külək enerjisini sabit saxlayır,Su buxarını azaldır,Temperatur balansını sabit saxlayır,CO2 səviyyəsini artırır,Fotosintez prosesini təmin edir.,e
273,Şəhər və kənd arasındakı fərqi izah edən əsas faktor hansıdır?,İnsan sayının azlığı,Kənd təsərrüfatı məhsullarının istehsalı,Hamısı,Sənaye və ticarət inkişafı,Əhalinin təhsil səviyyəsi,d
274,Urbanizasiya prosesi ən çox hansı bölgələrdə sürətlə inkişaf edir?,Böyük Britaniya,Avropa və Şimali Amerika,Avstraliya və Okeaniya,Afrika və Asiya,Qütb bölgələrində,d
275,Urbanizasiyanın nəticələrindən biri hansıdır?,Kənd həyatının inkişafı,Hərəkətliliyin azalması,Düzgün cavab yoxdur,Şəhərlərdə əhalinin sıxlaşması,Təbii resursların qorunması,d
276,Hansı faktor urbanizasiyanın sürətini artırır?,Kənd əhalisinin sayının azalması,Düzgün cavab yoxdur,Bütün yuxarıdakılar,"Kənd təsərrüfatının azalıb, sənaye sektorunun artması",Təbii fəlakətlər,d
277,Urbanizasiyanın əsas səbəblərindən biri hansıdır?,Hamısı,İqtisadi imkanların artması,Dağılma və müharibələr,Təhsil imkanlarının azlığı,Əkinçilik texnologiyalarının inkişafı,b
278,Urbanizasiya nədir?,Düzgün cavab yoxdur,Şəhər mədəniyyətinin inkişafı,Kənd təsərrüfatının inkişafı,İnsanların kənd yerlərindən şəhərlərə köçməsi,Şəhərlərin inkişafı və genişlənməsi,d
279,Aşağıdakı ölkələrdən hansı əhali artımının yüksək olduğu ölkədir?,Almaniya,Amerika,İsveç,Yaponiya,Nigeriya,e
280,Hangi faktorlar əhali artımını azaldır?,İnkişaf etmiş səhiyyə sistemləri,Hamısı yanlışdır,Doğum nisbətinin artması,Uşaqların sayının çoxalması,Qadınların iş gücünə qatılması və təhsili,e
281,Dünya əhalisinin artım sürətində son illərdə hansı dəyişiklik baş vermişdir?,Artım sürəti azalmağa başlayıb,Bütün cavablar səhvdir,Artım sürəti yalnız inkişaf etmiş ölkələrdə azalıb,Artım sürəti sabit qalır,Artım sürəti sürətlə artır,a
282,Əhali artımının azaldığı ölkələrdə əsasən hansı tendensiya müşahidə olunur?,Yalnız miqrasiya artması,Düzgün cavab yoxdur,Doğum nisbətinin artması,Ölüm nisbətinin azalması,Qadınların təhsili və iş gücünə qatılması artması,e
283,Əhali artımının idarə olunması üçün hansı tədbir ən uyğundur?,Ailələrin daha çox uşaq sahibi olmalarının təşviq edilməsi,Hamısı,Əhali sayının azalması üçün qanunların sərtləşdirilməsi,Sosial və iqtisadi siyasətlərin möhkəmləndirilməsi,Sağlamlıq problemlərinin görməzdən gəlinməsi,d
284,Aşağıdakılardan hansı əhali artımının mənfi təsiridir?,Ətraf mühitin çirklənməsi,Hamısı,İqtisadi inkişaf,Bazarda tələbin artması,İşçi qüvvəsinin artması,a
285,Əhali artımının əsas səbəblərindən biri hansıdır?,Düzgün cavab yoxdur,İnsanların təhsil səviyyəsinin azalması,Tibbi xidmətlərin zəifliyi,Doğum nisbətinin yüksək olması,İqtisadi çətinliklər,d
286,Əhali artımını necə hesablamaq olar?,Yalnız doğum və ölüm nisbətini müqayisə edərək,Heç biri doğru deyil,Ailələrin sosial vəziyyətini araşdıraraq,Doğum nisbəti ilə ölüm nisbətinin fərqini taparaq,Yalnız miqrasiya məlumatlarına baxaraq,d
287,Əhali artımının müsbət təsirlərindən biri hansıdır?,hamısı,sosial təzyiqlərin artması,resursların tükənməsi,ətraf mühitin çirklənməsi,İqtisadi inkişafın sürətlənməsi,e
288,Əhali artımı nə ilə müəyyən edilir?,Yalnız ölüm nisbəti,Yalnız doğum nisbəti,Miqrasiya,Ailələrin ölçüsü,Təbiət artımı və miqrasiya,e
289,2023-cü ildə dünyada hansı regionda urbanizasiya nisbəti ən yüksəkdir?,Asiya,Rusiya,Şimali Amerika,Avropa,Afrika,d
290,Əhalinin urbanizasiyası nə ilə nəticələnə bilər?,İnsanların kəndə qayıtması,Təhsil səviyyəsinin azalması,Şəhər ərazilərində əhali sıxlığının artması,Kənd ərazilərində əhali artımının dayandığı,Heç biri doğru deyil,c
291,Azərbaycanın kənd təsərrüfatı üçün ən əlverişli əraziləri hansılardır?,Talış dağlarının cənubu,Böyük Qafqazın yüksək dağları,Abşeron və Qobustan,Kür-Araz ovalığı.,Xəzər sahilləri,d
292,Quraqlıq zamanı kənd təsərrüfatına hansı təsirlər olur?,Məhsuldarlıq artır,CO2 səviyyəsi azalır,Karbon qazının miqdarı artır,Torpaqdakı rütubət miqdarı azalır.,Rütubət miqdarı artır,d
293,Dəmyə əkinçiliyin əsas üstünlüyü nədir?,CO2 səviyyəsini sabit saxlayır,Taxıl istehsalını artırır,Su buxarını azaldır,Suvarma ehtiyacını aradan qaldırır.,Havanın nisbi rütubətini artırır,d
294,Azərbaycanda ən çox müşahidə olunan iqlim tipi hansıdır?,Yağışlı mülayim iqlim,Quru səhra iqlimi,Subtropik mülayim iqlim.,Arktik iqlim,Tropik iqlim,c
295,Talış dağlarının cənubunda kənd təsərrüfatına hansı şərait uyğundur?,Dağlıq relyefdə soyuq təsərrüfat,Qışda buğda əkinləri,İsti və quru iqlim,Subtropik bitkiçilik üçün yüksək rütubət.,Külək enerjisinin istifadəsi,d
296,Aqroiqlim ehtiyatlarının təsnifatı nə əsasda aparılır?,CO2 səviyyəsi,Külək sürəti,Rütubət səviyyəsi,Günəş radiasiyasının intensivliyi,Effektiv temperatur göstəriciləri.,e
297,Azərbaycanın iqlimində ən böyük təhlükə yaradan təbii hadisə hansıdır?,Güclü küləklər,Yüksək temperatur,Karbon qazı səviyyəsinin artımı,Çoxlu yağıntılar,Sel və daşqınlar.,e
298,Ekoloji nöqteyi-nəzərdən əlverişli iqlim nə deməkdir?,Havanın yüksək təzyiqi,Yağıntı miqdarının sabit qalması,Rütubət balansının pozulması,Günəş radiasiyasının azalması,Temperaturun və rütubətin optimal nisbəti.,e
299,Azərbaycanın hansı əraziləri kurort-rekreasiya üçün əlverişlidir?,Kiçik Qafqaz dağlıq əraziləri,Kür-Araz ovalığı,Qobustan və Abşeron,Böyük Qafqaz və Xəzər sahilləri.,Talış dağları,d
300,Təbii rekreasiya resurslarına hansı nümunələr daxildir?,Kənd təsərrüfatı məhsulları,Tarixi abidələr,Neft-qaz yataqları,Günəşli günlərin çoxluğu və gözəl landşaftlar.,Sənaye müəssisələri,d
301,Atmosferin maddi nemətlərin formalaşmasındakı rolu nədən ibarətdir?,Havanın ionlaşmasını təmin etməklə,Oksigen və azotun sabit nisbəti ilə.,Atmosfer təzyiqini artırmaqla,Hidrogenin miqdarını sabit saxlamaqla,CO2 miqdarını artırmaqla,b
302,Mezosferdə temperatur necə dəyişir?,Sabit qalır,"Əvvəl artır, sonra azalır",Daim artır,Daim azalır,"Əvvəl azalır, sonra artır.",e
303,Troposferdə havanın əsas hərəkət forması hansıdır?,Diffuziya,Aerozol əmələ gəlməsi,İonlaşma,Konveksiya.,Sublimasiya,d
304,Atmosferdə su buxarının miqdarı nəyə bağlıdır?,Külək sürəti,CO2 səviyyəsi,Ozon qatının qalınlığı,Günəş radiasiyasının intensivliyi,Yüksəklik və temperatur.,e
305,Ozonun atmosferdəki əsas funksiyası nədir?,Azot qazını stabilləşdirmək,Havanın təmizliyini qorumaq,Karbon qazını artırmaq,Günəşin ultrabənövşəyi şüalarını udmaq.,Su buxarını azaltmaq,d
306,Azərbaycanın iqlimində dolu yağmasının təsiri nədir?,Havanın təzyiqini sabit saxlayır,Bitkilərin məhsuldarlığını artırır,Taxıl istehsalını artırır,Kənd təsərrüfatına ziyan vurur.,Günəş radiasiyasını azaldır,d
307,Dağlıq ərazilərdə təsərrüfat üçün hansı şərait mövcuddur?,Yüksək buxarlanma,Azot miqdarının artması,Subtropik iqlim,Külək enerjisi,Dəmyə əkinçiliyi.,e
308,Qobustan və Abşeronda ən çox hansı iqlim xüsusiyyəti müşahidə olunur?,Mülayim yağışlar,Su buxarının azlığı,Güclü küləklər.,Yüksək temperatur,Günəş radiasiyası,c
309,"""Demoqrafik keçid"" nəzəriyyəsinin mərhələlərində hansı inkişaf ardıcıllığına uyğun gəlir?",Düzgün cavab yoxdur,yüksək ölüm nisbəti → aşağı doğum nisbəti,aşağı doğum və yüksək ölüm nisbəti → yüksək doğum və aşağı ölüm nisbəti,yüksək doğum nisbəti,yüksək doğum nisbəti → aşağı doğum və yüksək ölüm nisbəti,a
310,"Əhali dinamikasında ""doğum nisbəti"" nəyi göstərir?",hər 1000 nəfərdən bir ildə ölüm sayı,hamısı doğrudur,hər 1000 nəfərdən bir ildə evlənənlərin sayı,Hər 1000 nəfərdən bir ildə dünyaya gələn uşaqların sayını,hər 1000 nəfərdən bir ildə köç edənlər,d
311,Əhali sıxlığının ən yüksək olduğu region hansı bölgədir?,yaponiya,Cənubi Asiya,şimali Avropa,avstraliya,şimali Amerika,b
312,2050-ci ilə qədər dünya əhalisinin təxmini artım sürəti nə qədər olacaq?,5 milyard,6 milyard,3 milyard,2 Milyard,1.5 milyard,d
313,"""Urbanizasiya"" termini nəyi ifadə edir?",düzgün cavab yoxdur,insanların kəndlərdən uzaqlaşmasını,Qeyri-rəsmi ərazilərdə insanların sıxlığının artmasını,kənd ərazilərində infrastrukturun inkişafını,İnsanların şəhərə köçmə prosesini,e
314,Aşağıdakı ölkələrdən hansının əhalisi ən sürətli artmaqdadır?,çin,afrika,yaponiya,Nigeriya,hindistan,d
315,Əhali artımı nəyi ifadə edir?,doğru cavab yoxdur,Bir ölkənin əhalisinin sayındakı artışı,bir ölkənin iqtisadi artımını,insanların həyat keyfiyyətinin artmasını,dövlətin təbii sərvətlərinin çoxalmasını,b
316,Dünya əhalisinin 2023-cü ildə təxmini sayı nə qədərdir?,2 milyard,9 milyard,5 milyard,7 milyard,8 Milyard,e
317,Davamlı inkişaf prinsiplərinə uyğun ekoloji standartın xüsusiyyəti hansıdır?,Ətraf mühit qanunvericiliyini məhdudlaşdırmaq,Sənaye məhsuldarlığını maksimuma çatdırmaq,Qlobal istiləşməni artırmaq,Yenilənməyən resurslardan intensiv istifadə,Çirklənmə səviyyəsini nəzarət altında saxlamaq,e
318,Paris İqlim Sazişinin əsas məqsədi nədir?,Təbii resurslardan tamamilə imtina etmək,Texnologiyaların inkişaf etdirilməsi,Yalnız inkişaf etməkdə olan ölkələrin dəstəklənməsi,İqlim dəyişikliyinin mənfi təsirlərini minimuma endirmək,Yeni enerji istehsal üsullarının tətbiqi,d
319,Ətraf mühitin qorunması üçün texniki standartların əsas tələbləri nədir?,Məhsuldarlığı artırmaq üçün texnologiyaların tətbiqi,Su ehtiyatlarının yalnız sənaye üçün istifadəsi,Məhsul istehsalının artırılması üçün müasir cihazların alınması,Çirklənməni azaltmaq üçün avadanlıqların optimallaşdırılması,Fabriklərin tam avtomatlaşdırılması,d
320,Hansı beynəlxalq standart tullantıların idarə olunması ilə bağlıdır?,Kyoto Protokolu,Paris İqlim Sazişi,ISO 9001,ISO 14001,Bazel Konvensiyası,e
321,Kyoto Protokolu nəyi nəzərdə tutur?,Ətraf mühitin iqtisadi inkişafla balanslaşdırılması,Davamlı kənd təsərrüfatı üçün yeni normativlər,İqlim dəyişikliyinin tamamilə aradan qaldırılması,Su ehtiyatlarının qorunması üçün texnologiyaların inkişaf etdirilməsi,Sera qazı emissiyalarının məhdudlaşdırılması üzrə beynəlxalq tələblər,e
322,Ekoloji standartların əsas məqsədi nədir?,Texnoloji inkişafı sürətləndirmək,Təbii resursların tamamilə istismarını təşviq etmək,Ətraf mühitdən maksimum istifadəni təmin etmək,Davamlı inkişafı təmin etmək,İnsan sağlamlığına yönəlik layihələrdə xərcləri azaltmaq,d
323,Aşağıdakılardan hansı ekoloji standartların tətbiqinə nümunədir?,Yerli bazar məhsullarının idxalının artırılması,Müasir texnologiyaların tətbiqi ilə fabriklərin optimallaşdırılması,Sənaye tullantılarının normativlərə uyğun idarə olunması,Şəhər mərkəzlərinin genişləndirilməsi,Yalnız bərpa olunan enerji mənbələrindən istifadə,c
324,Kür-Araz ovalığı hansı xüsusiyyətləri ilə seçilir?,Yüksək yağıntı miqdarı ilə,Subtropik meşə zonası ilə,Külək enerjisi ilə,Dağlıq relyef xüsusiyyətləri ilə,Taxıl bitkilərinin qışda becərilməsi ilə.,e
325,Azərbaycanın iqlimi kənd təsərrüfatına necə təsir edir?,Taxıl istehsalını artırır,Suvarma ehtiyacını azaldır,Təbii qaz ehtiyatlarını artırır,Müxtəlif bitkilərin becərilməsinə imkan verir.,Bütün ərazilərdə eyni təsir göstərir,d
326,Leysan yağışlarının təsiri nədir?,Torpağı gübrələndirir,Karbon qazını sabit saxlayır,Havanın rütubətini artırır,Yamaclarda yarğanlar yaradır.,Ozon qatını gücləndirir,d
327,Rekreasiya resursları nəyə daxildir?,İqlim dəyişiklikləri,Yeraltı su resursları,CO2-nin azalması,"Günəşli günlərin çoxluğu, landşaftlar.",Aqroiqlim ehtiyatları,d
328,Aqroiqlim ehtiyatlarının əsas göstəricisi hansıdır?,Ozon qatının qalınlığı,Su buxarının səviyyəsi,Külək sürəti,Günəş şüalarının miqdarı,Effektiv temperatur.,e
329,Quraqlığın kənd təsərrüfatına təsiri nədir?,Təbii ehtiyatları qoruyur,Yağıntıların miqdarını sabit saxlayır,Bitkilərin məhsuldarlığını artırır,Rütubət miqdarını artırır,Torpaqdakı rütubəti azaldır.,e
330,Azərbaycanın hansı bölgəsində dəmyə əkinçilik mümkündür?,Qobustan və Abşeron,Dağətəyi zonalar.,Talış dağları,Kür-Araz ovalığı,Xəzər sahilləri,b
331,Atmosferin əsas qazları arasında həyat üçün vacib olmayan hansıdır?,Neon,Karbon qazı,Argon.,Oksigen,Azot,c
332,Azot qazının təsiri ilə hansı dəyişikliklər yaranır?,Havanın turbulentliyi güclənir,Atmosfer təzyiqi artır,Karbon dövrü tamamlanır,CO2 səviyyəsi sabit qalır,İnsanlarda psixoloji dəyişikliklər yaranır.,e
333,Ekzosferdə hansı qaz üstünlük təşkil edir?,Karbon qazı,Argon,Azot,Hidrogen.,Oksigen,d
334,Yüksək atmosfer təzyiqi azot qazına necə təsir edir?,Onun oksigenlə birləşməsini təmin edir,Azotun inert qaz kimi qalmasını təmin edir,Azotun havadan yox olmasına səbəb olur,Azotun miqdarını azaldır,Azotun narkotik təsir göstərməsinə səbəb olur,e
335,Atmosferdə karbon qazının artması hansı qlobal problemə səbəb olur?,Ozon qatının parçalanması,Qlobal istiləşmə,İqlim dəyişikliklərinin azalması,Tropik fırtınaların artması,Su buxarının çoxalması,b
336,İqlimin əsas elementi nədir?,Su,atmosfer,Vulkan püskürmələri,Günəş radiasiyası,Daş qatı,d
337,Troposferdə hava hərəkəti nəyi təmin edir?,Yerin maqnit sahəsini,Daş qatı,Vulkan püskürmələrini,Havanın çirklənməsini,İqlim hadisələrini və hava şəraitini,e
338,Atmosfer təbəqələri hansılardır?,"Litosfer, biosfer, troposfer, termosfer","Stratosfer, troposfer, hidrosfer","troposfer, hidrosfer, stratosfer","Atmosfer, stratosfer, biosfer","Troposfer, stratosfer, mezosfer, termosfer, ekzosfer",e
339,Atmosferin əsas qaz komponentləri hansılardır?,"Hidrogen, metan, karbon qazı","Azot, metan, hidrogen","Hidrogen, oksigen, azot","Karbon qazı, oksigen, azot","Azot, oksigen, digər qazlar",e
340,Atmosfer nədir?,Yerin maqmatik təbəqəsidir,Günəşin radiasiyasıdır,Daş qatı,Yer kürəsini əhatə edən qaz təbəqəsidir,Torpağın üst qatıdır,d
341,İqlim ehtiyatlarının ekoloji-iqtisadi qiymətləndirilməsinin əsas məqsədi nədir,enerji mənbələrinin təmizliyi təmin etmək,karbon qazı və mətan qazı miqdarı artırmaq,Ekoloji təsirləri nəzərə almadan məhsuldarlığı artırmaq.,Ətraf mühitin qorunması üçün iqtisadiyyatın inkişafını ləngitmək.,Təbii resursların optimal istifadəsini təmin etmək.,e
342,ISO 14001 standartı nə ilə bağlıdır?,Qida təhlükəsizliyi və gigiyena qaydaları,Enerji istehsalının texniki göstəriciləri,Maliyyə hesabatlarının uyğunluğu,Ətraf mühitin idarəetmə sistemləri,Əmək hüquqları və işçi şərtləri,d
343,Aşağıdakılardan hansı ekoloji keyfiyyət standartlarına aiddir?,Fabriklərdə iş saatlarının müəyyənləşdirilməsi,Texnologiya ilə bağlı beynəlxalq tələblər,Maliyyə əməliyyatlarının şəffaflığı,Atmosferdə zərərli qazların icazə verilən maksimum konsentrasiyası,İdxal-ixrac prosedurlarının standartlaşdırılması,d
344,Ekoloji standartlar nəyi tənzimləyir?,Ətraf mühitin qorunması üçün qaydaları və normativləri müəyyənləşdirir,Yalnız sənaye müəssisələrinə yönəlik tələblər qoyur,İnsan sağlamlığını qorumaq və iqtisadi artımı artırmaq,Texnoloji istehsalın artırılmasını təmin edir,İqlim dəyişikliyinin tamamilə qarşısını alır,a
345,İşçilərin sağlamlığına hansı iş şəraiti daha çox təsir edir?,Fiziki və psixoloji yüklənmənin dərəcəsi,Kollektiv iş mühitinin idarə olunması,Yalnız iş saatlarının uzunluğu,İşçinin aldığı əmək haqqı,Avadanlıqların keyfiyyəti,a
346,Davamlı kənd təsərrüfatında hansı üsul tətbiq edilməlidir?,Yalnız kimyəvi gübrələrdən istifadə,Torpağın yalnız ixrac məqsədilə istifadəsi,Sənaye məhsullarının kənd təsərrüfatına yönəldilməsi,İstehsal xərclərini azaltmaq üçün torpaq istismarını artırmaq,Ətraf mühiti qorumaq məqsədilə təbii gübrələrdən istifadə,e
347,Torpaq islahatının əsas məqsədi nədir?,Şəhər sənayesi üçün yeni ərazilər təmin etmək,Dövlət torpaqlarını özəlləşdirmək,Torpaq vergisini artırmaq,Kənd təsərrüfatı istehsalının səmərəliliyini artırmaq üçün torpaq mülkiyyətçiliyini yenidən tənzimləmək,Torpağın məhsuldarlığını artırmaq,d
348,Aşağıdakılardan hansı iş mühitində ergonomikanın tətbiqinə nümunə ola bilər?,İşçi maaşlarının optimallaşdırılması,Yalnız avtomatlaşdırılmış texnologiyaların istifadəsi,İş saatlarının qanunla artırılması,Texnoloji yeniliklərin təşviqi,İşçi masalarının hündürlüyünün tənzimlənməsi,e
349,Ergonomika nəyi öyrənir?,İş şəraitinin insan fiziologiyasına və psixologiyasına uyğunlaşdırılmasını,İdarəetmə sistemlərini təkmilləşdirmək yollarını,Əmək məhsuldarlığını artırmaq üçün iqtisadi modelləri,İnsanların iş mühitində emosional davranışlarını,Texniki resurslardan daha effektiv istifadə yollarını,a
350,Əmək fiziologiyası iş şəraitində hansı prosesləri araşdırır?,Əmək bazarının iqtisadi göstəriciləri,Kollektiv müqavilələrin təsiri,İşçilərin hüquqi müdafiəsi,Texniki avadanlıqların iş performansı,İnsan orqanizminin iş zamanı enerji sərfiyyatını və yüklənmə səviyyəsini,e
351,Hansı amil kənd təsərrüfatında məhsuldarlığa birbaşa təsir edir?,İqlim dəyişikliyinin mənfi təsirləri,Dövlət sektorunda islahatların gecikməsi,Şəhərlərdə əhalinin artımı,Texnologiyanın şəhər sektorunda inkişafı,Torpağın münbitliyi və suvarma sistemlərinin vəziyyəti,e
352,Kənd təsərrüfatında torpaq mülkiyyətinə aid hansı yanaşma doğru hesab olunur?,Torpağın yalnız idxal məqsədilə istifadə edilməsi,Torpaq yalnız sənaye müəssisələri üçün ayrılmalıdır,Torpaq yalnız dövlət mülkiyyətində olmalıdır,Torpaqdan yalnız kooperativ təsərrüfatlar istifadə etməlidir,"Torpaq şəxsi, dövlət və kooperativ mülkiyyətdə ola bilər",e
353,Hansı fəaliyyət ekoloji iqtisadiyyatın məqsədlərinə ziddir?,Tullantıların təkrar emalı,Ekoloji qanunvericiliyin tətbiqi,Yenilənən enerji mənbələrindən istifadə,Biomüxtəlifliyin qorunması,Resursların həddindən artıq istismarı,e
354,Külək enerjisindən istifadə maddi nemətlərin formalaşmasına necə təsir edir,Havanın çirklənməsini artırır.,yalnız oksigen səviyyəsi artır,düzgün variantli yoxdur,Enerji mənbələrinin təmizliyini təmin edir.,Kənd təsərrüfatında məhsuldarlığı azaldır.,d
355,İqlim dəyişikliklərinin atmosferin kimyəvi tərkibinə təsiri nədir,Yalnız oksigen səviyyəsi artır.,Düzgün variant yoxdur,Karbon qazı və metan qazının miqdarı artır.,İqlim dəyişikliklərinin atmosferə təsiri yoxdur.,tullantılar yalnız havaya təsir edir,c
356,Sənaye tullantılarının atmosferə təsiri nəticəsində hansı maddi nemətlərin keyfiyyəti dəyişir,Məhsulun keyfiyyəti artır.,Tullantılar yalnız havaya təsir edir.,Torpağın məhsuldarlığının azalmasına,iqlim dəyişikliklərinin,Torpaq və suyun keyfiyyəti azalır.,e
357,Atmosferdəki çirklənmələrin kənd təsərrüfatına təsiri nədir,sənaye tullantıların çoxalması,düzgün cavab yoxdur,Çirklənmələr məhsulun keyfiyyətini azaldır.,Çirklənmələr təsirsiz qalır.,Çirklənmələr məhsulu artırır.,c
358,Atmosferdə karbon qazının miqdarı bitkilərin böyüməsinə necə təsir edir,Hava axınına təsir edir,düzgün cavab yoxdur,Azalması bitki böyüməsini sürətləndirir.,Karbon qazının səviyyəsi təsirsizdir.,Artması fotosintezi sürətləndirir.,e
359,Yağıntıların bölgüsü maddi nemətlərin istehsalına necə təsir edir,Çoxlu yağıntılar məhsuldarlığı həmişə artırır.,Yağıntılar maddi nemətlərə təsir etmir.,Bütün cavablar doğrudur,Yağıntıların bərabər bölgüsü məhsuldarlığı çoxaldır,Yağıntıların qeyri-bərabər bölgüsü məhsuldarlığı azaldır.,e
360,Atmosferin temperatur dəyişiklikləri torpaq məhsuldarlığına necə təsir göstərir,Mineral ehtiyatlar azalması,Temperatur dəyişməsinə təsir göstərir,Temperaturun dəyişməsi heç bir təsir göstərmir.,Temperaturun artması məhsuldarlığı azaldır.,Optimal temperatur şəraiti məhsuldarlığı artırır.,e
361,Fotosintez prosesində atmosferin hansı komponentləri iştirak edir,Azot və oksigen,Düzgün cavab yoxdur,Karbon qazı və oksigen.,Karbon qazı və azot.,Karbon qazı və su buxarı.,e
362,Atmosferdə baş verən proseslər maddi nemətlərin formalaşmasına necə təsir edir,Səth temperaturunun azalması ilə məhsuldarlığın azalması.,Fotosintez və su dövranı vasitəsilə.,karbon dioksid səviyyəsi artması,Torpağın məhsuldarlığının azalması,Enerjisinin yerə çatmasının qarşısını alır.,b
363,Biosferin ən böyük problemi nədir?,Təbii qazların tükənməsi,İnsan fəaliyyəti nəticəsində yaranan çirklənmə,Vulkan püskürmələri,Düzgün cavab yoxdur,Yağışın azalması,b
364,Suyun biosferdə saxlanıldığı əsas məkan hansıdır?,Buzlaqlar,Hamısı doğrudur,Atmosfer,Tropik meşələr,Okeanlar,e
365,Hansı təbii hadisə biosferdə biomüxtəlifliyin azalmasına səbəb olur?,Yağış,Hamısı doğrudur,Vulkan püskürməsi,Suyun buxarlanması,Meşə yanğınları,e
